Year,"Program Name","Fund Type","Current Budget","Difference Between Budgets by FY"
2017,"Academic Support","Current Unrestricted Funds",$3575430.00,NULL
2018,"Academic Support","Current Unrestricted Funds",$4201340.00,$625908.00
2019,"Academic Support","Current Unrestricted Funds",$4258250.00,$56908.00
2020,"Academic Support","Current Unrestricted Funds",$3750520.00,$-507735.00
2021,"Academic Support","Current Unrestricted Funds",$2734000.00,$-1016518.00
2022,"Academic Support","Current Unrestricted Funds",$3491680.00,$757681.00
2023,"Academic Support","Current Unrestricted Funds",$5541250.00,$2049572.00
2024,"Academic Support","Current Unrestricted Funds",$5282080.00,$-259174.00
2025,"Academic Support","Current Unrestricted Funds",$5112420.00,$-169659.00
2017,"Auxiliary Enterprises","Current Unrestricted Funds",$7994760.00,NULL
2018,"Auxiliary Enterprises","Current Unrestricted Funds",$7940100.00,$-54657.00
2019,"Auxiliary Enterprises","Current Unrestricted Funds",$8561960.00,$621863.00
2020,"Auxiliary Enterprises","Current Unrestricted Funds",$6794870.00,$-1767096.00
2021,"Auxiliary Enterprises","Current Unrestricted Funds",$3315550.00,$-3479317.00
2022,"Auxiliary Enterprises","Current Unrestricted Funds",$4164750.00,$849202.00
2023,"Auxiliary Enterprises","Current Unrestricted Funds",$23832600.00,$19667808.00
2024,"Auxiliary Enterprises","Current Unrestricted Funds",$12067200.00,$-11765321.00
2025,"Auxiliary Enterprises","Current Unrestricted Funds",$9654310.00,$-2412931.00
2017,"Institutional Support","Current Unrestricted Funds",$1628270.00,NULL
2018,"Institutional Support","Current Unrestricted Funds",$1693670.00,$65402.00
2019,"Institutional Support","Current Unrestricted Funds",$1806400.00,$112727.00
2020,"Institutional Support","Current Unrestricted Funds",$1569820.00,$-236583.00
2021,"Institutional Support","Current Unrestricted Funds",$832866.00,$-736952.00
2022,"Institutional Support","Current Unrestricted Funds",$603571.00,$-229295.00
2023,"Institutional Support","Current Unrestricted Funds",$1396320.00,$792747.00
2024,"Institutional Support","Current Unrestricted Funds",$1330830.00,$-65492.00
2025,"Institutional Support","Current Unrestricted Funds",$1164040.00,$-166785.00
2017,Instruction,"Current Unrestricted Funds",$4648510.00,NULL
2018,Instruction,"Current Unrestricted Funds",$4887110.00,$238599.00
2019,Instruction,"Current Unrestricted Funds",$5183400.00,$296290.00
2020,Instruction,"Current Unrestricted Funds",$3842200.00,$-1341201.00
2021,Instruction,"Current Unrestricted Funds",$3644320.00,$-197878.00
2022,Instruction,"Current Unrestricted Funds",$4472980.00,$828658.00
2023,Instruction,"Current Unrestricted Funds",$10922800.00,$6449775.00
2024,Instruction,"Current Unrestricted Funds",$8171090.00,$-2751671.00
2025,Instruction,"Current Unrestricted Funds",$8430820.00,$259732.00
2017,"Operation and Maintenance of Plant","Current Unrestricted Funds",$133542.00,NULL
2018,"Operation and Maintenance of Plant","Current Unrestricted Funds",$103986.00,$-29556.00
2019,"Operation and Maintenance of Plant","Current Unrestricted Funds",$97193.00,$-6793.00
2020,"Operation and Maintenance of Plant","Current Unrestricted Funds",$123296.00,$26103.00
2021,"Operation and Maintenance of Plant","Current Unrestricted Funds",$41379.00,$-81917.00
2022,"Operation and Maintenance of Plant","Current Unrestricted Funds",$49496.00,$8117.00
2023,"Operation and Maintenance of Plant","Current Unrestricted Funds",$119319.00,$69823.00
2024,"Operation and Maintenance of Plant","Current Unrestricted Funds",$171970.00,$52651.00
2025,"Operation and Maintenance of Plant","Current Unrestricted Funds",$221584.00,$49614.00
2017,"Public Service","Current Unrestricted Funds",$119245.00,NULL
2018,"Public Service","Current Unrestricted Funds",$131014.00,$11769.00
2019,"Public Service","Current Unrestricted Funds",$131959.00,$945.00
2020,"Public Service","Current Unrestricted Funds",$130258.00,$-1701.00
2021,"Public Service","Current Unrestricted Funds",$112432.00,$-17826.00
2022,"Public Service","Current Unrestricted Funds",$82876.00,$-29556.00
2023,"Public Service","Current Unrestricted Funds",$583943.00,$501067.00
2024,"Public Service","Current Unrestricted Funds",$592778.00,$8835.00
2025,"Public Service","Current Unrestricted Funds",$561352.00,$-31426.00
2017,Research,"Current Unrestricted Funds",$1714730.00,NULL
2018,Research,"Current Unrestricted Funds",$2010480.00,$295753.00
2019,Research,"Current Unrestricted Funds",$2327700.00,$317215.00
2020,Research,"Current Unrestricted Funds",$1859810.00,$-467886.00
2021,Research,"Current Unrestricted Funds",$1338460.00,$-521353.00
2022,Research,"Current Unrestricted Funds",$1265730.00,$-72729.00
2023,Research,"Current Unrestricted Funds",$3227670.00,$1961943.00
2024,Research,"Current Unrestricted Funds",$3131460.00,$-96210.00
2025,Research,"Current Unrestricted Funds",$707203.00,$-2424261.00
2017,"Student Services","Current Unrestricted Funds",$1316650.00,NULL
2018,"Student Services","Current Unrestricted Funds",$1293700.00,$-22951.00
2019,"Student Services","Current Unrestricted Funds",$1376490.00,$82793.00
2020,"Student Services","Current Unrestricted Funds",$966683.00,$-409808.00
2021,"Student Services","Current Unrestricted Funds",$897531.00,$-69152.00
2022,"Student Services","Current Unrestricted Funds",$1004580.00,$107044.00
2023,"Student Services","Current Unrestricted Funds",$1875760.00,$871185.00
2024,"Student Services","Current Unrestricted Funds",$1885340.00,$9575.00
2025,"Student Services","Current Unrestricted Funds",$1936380.00,$51048.00
